Title:               All Employees: Service-Providing in Charlotte-Concord-Gastonia, NC-SC (MSA)
1996-01-01   578.5
1996-02-01   582.1
1996-03-01   584.5
1996-04-01   585.4
1996-05-01   587.0
1996-06-01   589.7
1996-07-01   590.8
1996-08-01   592.0
1996-09-01   596.3
1996-10-01   601.4
1996-11-01   605.5
1996-12-01   608.2
1997-01-01   608.9
1997-02-01   610.7
1997-03-01   613.7
1997-04-01   614.7
1997-05-01   617.5
1997-06-01   618.5
1997-07-01   619.1
1997-08-01   621.0
1997-09-01   623.5
1997-10-01   624.1
1997-11-01   627.1
1997-12-01   629.7
1998-01-01   634.6
1998-02-01   637.5
1998-03-01   638.0
1998-04-01   646.7
1998-05-01   650.7
1998-06-01   654.8
1998-07-01   663.7
1998-08-01   663.3
1998-09-01   664.8
1998-10-01   663.4
1998-11-01   664.8
1998-12-01   665.9
1999-01-01   671.8
1999-02-01   678.0
1999-03-01   677.8
1999-04-01   678.4
1999-05-01   679.8
1999-06-01   679.7
1999-07-01   690.0
1999-08-01   690.9
1999-09-01   693.9
1999-10-01   697.4
1999-11-01   699.4
1999-12-01   703.0
2000-01-01   704.8
2000-02-01   704.9
2000-03-01   708.1
2000-04-01   711.2
2000-05-01   713.9
2000-06-01   717.5
2000-07-01   716.9
2000-08-01   716.1
2000-09-01   715.6
2000-10-01   721.3
2000-11-01   720.5
2000-12-01   720.8
2001-01-01   721.4
2001-02-01   722.0
2001-03-01   720.9
2001-04-01   721.1
2001-05-01   720.3
2001-06-01   719.4
2001-07-01   719.4
2001-08-01   719.5
2001-09-01   717.1
2001-10-01   718.0
2001-11-01   718.0
2001-12-01   716.0
2002-01-01   715.6
2002-02-01   717.4
2002-03-01   718.5
2002-04-01   718.1
2002-05-01   718.8
2002-06-01   721.1
2002-07-01   724.0
2002-08-01   724.0
2002-09-01   724.0
2002-10-01   722.4
2002-11-01   722.8
2002-12-01   723.4
2003-01-01   723.7
2003-02-01   723.1
2003-03-01   723.9
2003-04-01   726.0
2003-05-01   729.8
2003-06-01   729.4
2003-07-01   723.1
2003-08-01   725.7
2003-09-01   729.4
2003-10-01   731.5
2003-11-01   732.7
2003-12-01   734.3
2004-01-01   734.4
2004-02-01   733.9
2004-03-01   735.0
2004-04-01   734.3
2004-05-01   737.2
2004-06-01   739.6
2004-07-01   740.4
2004-08-01   742.5
2004-09-01   745.0
2004-10-01   746.9
2004-11-01   748.9
2004-12-01   750.2
2005-01-01   750.6
2005-02-01   751.9
2005-03-01   753.1
2005-04-01   756.2
2005-05-01   757.0
2005-06-01   758.5
2005-07-01   762.3
2005-08-01   764.7
2005-09-01   767.5
2005-10-01   771.7
2005-11-01   772.7
2005-12-01   774.6
2006-01-01   784.2
2006-02-01   784.4
2006-03-01   786.8
2006-04-01   792.8
2006-05-01   795.2
2006-06-01   795.6
2006-07-01   800.8
2006-08-01   803.6
2006-09-01   807.9
2006-10-01   810.7
2006-11-01   817.0
2006-12-01   818.5
2007-01-01   821.3
2007-02-01   823.6
2007-03-01   828.3
2007-04-01   829.9
2007-05-01   833.4
2007-06-01   834.1
2007-07-01   835.8
2007-08-01   838.6
2007-09-01   840.3
2007-10-01   843.6
2007-11-01   846.1
2007-12-01   849.1
2008-01-01   845.7
2008-02-01   848.2
2008-03-01   848.5
2008-04-01   846.4
2008-05-01   846.1
2008-06-01   846.2
2008-07-01   844.7
2008-08-01   845.1
2008-09-01   846.6
2008-10-01   840.7
2008-11-01   836.0
2008-12-01   836.6
2009-01-01   828.8
2009-02-01   824.2
2009-03-01   818.7
2009-04-01   814.0
2009-05-01   811.2
2009-06-01   810.6
2009-07-01   809.5
2009-08-01   808.5
2009-09-01   807.1
2009-10-01   802.1
2009-11-01   802.4
2009-12-01   802.9
2010-01-01   806.9
2010-02-01   806.5
2010-03-01   809.3
2010-04-01   813.4
2010-05-01   817.9
2010-06-01   817.0
2010-07-01   818.0
2010-08-01   818.4
2010-09-01   819.7
2010-10-01   824.3
2010-11-01   826.3
2010-12-01   828.3
2011-01-01   828.9
2011-02-01   833.4
2011-03-01   834.6
2011-04-01   836.3
2011-05-01   834.2
2011-06-01   837.4
2011-07-01   838.6
2011-08-01   841.9
2011-09-01   843.1
2011-10-01   840.6
2011-11-01   845.0
2011-12-01   846.5
2012-01-01   850.5
2012-02-01   851.3
2012-03-01   854.5
2012-04-01   854.4
2012-05-01   857.4
2012-06-01   854.9
2012-07-01   860.4
2012-08-01   862.3
2012-09-01   865.3
2012-10-01   866.9
2012-11-01   868.9
2012-12-01   870.0
2013-01-01   870.5
2013-02-01   872.5
2013-03-01   873.8
2013-04-01   876.0
2013-05-01   877.5
2013-06-01   876.3
2013-07-01   881.7
2013-08-01   884.3
2013-09-01   886.5
2013-10-01   889.6
2013-11-01   893.4
2013-12-01   896.2
2014-01-01   902.0
2014-02-01   897.8
2014-03-01   904.7
2014-04-01   908.9
2014-05-01   911.1
2014-06-01   912.1
2014-07-01   914.8
2014-08-01   917.5
2014-09-01   920.6
2014-10-01   923.8
2014-11-01   926.0
2014-12-01   928.9
2015-01-01   932.8
2015-02-01   936.4
2015-03-01   937.3
2015-04-01   939.5
2015-05-01   944.5
2015-06-01   948.9
2015-07-01   950.2
2015-08-01   951.5
2015-09-01   953.4
2015-10-01   957.7
2015-11-01   961.0
2015-12-01   964.8
2016-01-01   966.6
2016-02-01   968.4
2016-03-01   972.0
2016-04-01   977.8
2016-05-01   977.7
2016-06-01   980.3
2016-07-01   986.1
2016-08-01   987.0
2016-09-01   995.1
2016-10-01   990.7
2016-11-01   993.9
2016-12-01   992.6
2017-01-01   999.6
2017-02-01  1002.3
2017-03-01  1004.7
2017-04-01  1006.4
2017-05-01  1008.9
2017-06-01  1012.5
2017-07-01  1013.9
2017-08-01  1017.0
2017-09-01  1020.0
2017-10-01  1023.5
2017-11-01  1024.6
2017-12-01  1028.1
2018-01-01  1029.1
2018-02-01  1032.0
2018-03-01  1035.5
2018-04-01  1037.3
2018-05-01  1040.9
2018-06-01  1044.4
2018-07-01  1047.2
2018-08-01  1049.7
2018-09-01  1050.6
2018-10-01  1052.8
