Title:               Civilian Labor Force in Fayetteville, NC (MSA)
2013-12-01   148191
2014-01-01   148127
2014-02-01   148325
2014-03-01   148122
2014-04-01   147395
2014-05-01   146949
2014-06-01   146836
2014-07-01   146778
2014-08-01   146648
2014-09-01   146404
2014-10-01   146270
2014-11-01   146077
2014-12-01   145731
2015-01-01   145473
2015-02-01   145351
2015-03-01   145459
2015-04-01   146027
2015-05-01   146522
2015-06-01   146380
2015-07-01   146061
2015-08-01   145889
2015-09-01   145954
2015-10-01   146344
2015-11-01   146789
2015-12-01   147125
2016-01-01   147348
2016-02-01   147504
2016-03-01   147549
2016-04-01   147272
2016-05-01   146921
2016-06-01   146780
2016-07-01   146664
2016-08-01   146681
2016-09-01   146926
2016-10-01   147139
2016-11-01   147203
2016-12-01   147288
2017-01-01   147516
2017-02-01   147643
2017-03-01   147611
2017-04-01   147465
2017-05-01   147135
2017-06-01   146895
2017-07-01   147120
2017-08-01   147668
2017-09-01   147879
2017-10-01   147678
2017-11-01   147689
2017-12-01   147889
2018-01-01   148021
2018-02-01   147987
2018-03-01   148052
2018-04-01   148033
2018-05-01   148088
2018-06-01   148280
2018-07-01   148617
2018-08-01   147683
2018-09-01   146208
2018-10-01   147531
2018-11-01   148230
