Title:               All Employees: Service-Providing in Raleigh, NC (MSA)
1999-06-01  359.2
1999-07-01  351.8
1999-08-01  354.6
1999-09-01  359.0
1999-10-01  361.3
1999-11-01  364.0
1999-12-01  367.2
2000-01-01  356.9
2000-02-01  358.9
2000-03-01  362.4
2000-04-01  364.7
2000-05-01  366.4
2000-06-01  369.5
2000-07-01  360.5
2000-08-01  363.0
2000-09-01  369.0
2000-10-01  369.7
2000-11-01  372.3
2000-12-01  373.2
2001-01-01  365.7
2001-02-01  367.8
2001-03-01  369.2
2001-04-01  370.6
2001-05-01  371.5
2001-06-01  372.9
2001-07-01  362.1
2001-08-01  363.6
2001-09-01  366.6
2001-10-01  368.3
2001-11-01  368.7
2001-12-01  369.9
2002-01-01  358.1
2002-02-01  359.4
2002-03-01  360.3
2002-04-01  364.1
2002-05-01  366.9
2002-06-01  367.8
2002-07-01  362.0
2002-08-01  365.4
2002-09-01  370.9
2002-10-01  372.3
2002-11-01  374.2
2002-12-01  375.3
2003-01-01  365.2
2003-02-01  366.2
2003-03-01  367.8
2003-04-01  372.1
2003-05-01  374.4
2003-06-01  375.2
2003-07-01  368.0
2003-08-01  371.3
2003-09-01  373.4
2003-10-01  377.1
2003-11-01  378.0
2003-12-01  379.0
2004-01-01  373.1
2004-02-01  374.2
2004-03-01  376.9
2004-04-01  377.7
2004-05-01  381.4
2004-06-01  382.6
2004-07-01  381.1
2004-08-01  384.6
2004-09-01  388.0
2004-10-01  389.3
2004-11-01  391.4
2004-12-01  394.0
2005-01-01  385.8
2005-02-01  387.3
2005-03-01  390.2
2005-04-01  393.9
2005-05-01  396.8
2005-06-01  397.1
2005-07-01  396.5
2005-08-01  402.1
2005-09-01  404.6
2005-10-01  403.9
2005-11-01  408.4
2005-12-01  408.9
2006-01-01  402.3
2006-02-01  404.0
2006-03-01  406.7
2006-04-01  413.7
2006-05-01  417.0
2006-06-01  418.9
2006-07-01  415.7
2006-08-01  421.7
2006-09-01  423.7
2006-10-01  427.4
2006-11-01  432.7
2006-12-01  434.0
2007-01-01  427.2
2007-02-01  430.4
2007-03-01  434.2
2007-04-01  435.5
2007-05-01  441.4
2007-06-01  443.7
2007-07-01  437.8
2007-08-01  443.5
2007-09-01  444.1
2007-10-01  449.1
2007-11-01  452.4
2007-12-01  453.2
2008-01-01  444.7
2008-02-01  446.9
2008-03-01  448.0
2008-04-01  449.0
2008-05-01  453.0
2008-06-01  450.9
2008-07-01  447.7
2008-08-01  452.1
2008-09-01  452.5
2008-10-01  455.0
2008-11-01  454.2
2008-12-01  453.0
2009-01-01  439.7
2009-02-01  438.9
2009-03-01  438.6
2009-04-01  440.3
2009-05-01  443.3
2009-06-01  440.0
2009-07-01  436.2
2009-08-01  437.7
2009-09-01  437.8
2009-10-01  438.9
2009-11-01  441.1
2009-12-01  440.7
2010-01-01  430.9
2010-02-01  431.4
2010-03-01  435.1
2010-04-01  440.3
2010-05-01  444.4
2010-06-01  443.9
2010-07-01  441.6
2010-08-01  444.0
2010-09-01  443.8
2010-10-01  447.8
2010-11-01  450.2
2010-12-01  449.8
2011-01-01  441.6
2011-02-01  444.6
2011-03-01  447.0
2011-04-01  449.7
2011-05-01  451.0
2011-06-01  449.9
2011-07-01  447.8
2011-08-01  451.8
2011-09-01  452.9
2011-10-01  456.2
2011-11-01  458.7
2011-12-01  457.8
2012-01-01  453.5
2012-02-01  455.6
2012-03-01  458.9
2012-04-01  463.0
2012-05-01  465.7
2012-06-01  465.4
2012-07-01  463.4
2012-08-01  468.4
2012-09-01  467.6
2012-10-01  470.9
2012-11-01  474.5
2012-12-01  473.7
2013-01-01  465.9
2013-02-01  470.3
2013-03-01  473.3
2013-04-01  475.0
2013-05-01  477.1
2013-06-01  476.2
2013-07-01  474.8
2013-08-01  483.0
2013-09-01  485.7
2013-10-01  487.6
2013-11-01  491.4
2013-12-01  491.1
2014-01-01  482.4
2014-02-01  482.2
2014-03-01  487.2
2014-04-01  492.4
2014-05-01  495.9
2014-06-01  497.7
2014-07-01  492.2
2014-08-01  498.2
2014-09-01  499.2
2014-10-01  506.1
2014-11-01  509.4
2014-12-01  509.6
2015-01-01  498.7
2015-02-01  501.7
2015-03-01  504.4
2015-04-01  509.2
2015-05-01  512.0
2015-06-01  513.9
2015-07-01  509.9
2015-08-01  516.0
2015-09-01  517.6
2015-10-01  522.5
2015-11-01  526.2
2015-12-01  526.7
2016-01-01  517.9
2016-02-01  520.8
2016-03-01  523.4
2016-04-01  528.1
2016-05-01  530.2
2016-06-01  531.1
2016-07-01  528.2
2016-08-01  532.4
2016-09-01  533.9
2016-10-01  537.7
2016-11-01  542.0
2016-12-01  540.3
2017-01-01  529.2
2017-02-01  534.1
2017-03-01  536.4
2017-04-01  538.7
2017-05-01  543.7
2017-06-01  544.9
2017-07-01  541.8
2017-08-01  548.7
2017-09-01  546.2
2017-10-01  551.4
2017-11-01  554.8
2017-12-01  552.7
2018-01-01  543.2
2018-02-01  547.1
2018-03-01  549.7
2018-04-01  553.1
2018-05-01  558.4
2018-06-01  561.2
2018-07-01  560.6
2018-08-01  563.8
2018-09-01  563.6
2018-10-01  568.3
