Title:               Civilian Labor Force in Wilmington, NC (MSA)
2016-02-01  140930
2016-03-01  141600
2016-04-01  142465
2016-05-01  143703
2016-06-01  143526
2016-07-01  145025
2016-08-01  144804
2016-09-01  144646
2016-10-01  143104
2016-11-01  143308
2016-12-01  141088
2017-01-01  141923
2017-02-01  143540
2017-03-01  144541
2017-04-01  145463
2017-05-01  146640
2017-06-01  147207
2017-07-01  148401
2017-08-01  147496
2017-09-01  147947
2017-10-01  145971
2017-11-01  146804
2017-12-01  144433
2018-01-01  143498
2018-02-01  145687
2018-03-01  146703
2018-04-01  146941
2018-05-01  148184
2018-06-01  149071
2018-07-01  149699
2018-08-01  146785
2018-09-01  141885
2018-10-01  145412
2018-11-01  146393
