Title:               All Employees: Government in North Carolina
2016-07-01  643.2
2016-08-01  697.3
2016-09-01  734.2
2016-10-01  746.1
2016-11-01  752.3
2016-12-01  746.2
2017-01-01  733.6
2017-02-01  742.9
2017-03-01  746.3
2017-04-01  747.4
2017-05-01  749.0
2017-06-01  721.4
2017-07-01  648.2
2017-08-01  705.2
2017-09-01  741.5
2017-10-01  752.2
2017-11-01  756.1
2017-12-01  751.6
2018-01-01  740.8
2018-02-01  750.0
2018-03-01  753.3
2018-04-01  754.4
2018-05-01  754.8
2018-06-01  726.3
2018-07-01  652.9
2018-08-01  710.0
2018-09-01  745.5
2018-10-01  755.5
2018-11-01  760.2
