Title:               Civilian Labor Force in Guilford County, NC
1999-01-01  222473
1999-02-01  223981
1999-03-01  224698
1999-04-01  223758
1999-05-01  225005
1999-06-01  226289
1999-07-01  226141
1999-08-01  224977
1999-09-01  223380
1999-10-01  227085
1999-11-01  228508
1999-12-01  228877
2000-01-01  230518
2000-02-01  232713
2000-03-01  232902
2000-04-01  232883
2000-05-01  232753
2000-06-01  234106
2000-07-01  235925
2000-08-01  234457
2000-09-01  232493
2000-10-01  234470
2000-11-01  236086
2000-12-01  236247
2001-01-01  236919
2001-02-01  238143
2001-03-01  238012
2001-04-01  237026
2001-05-01  236813
2001-06-01  238210
2001-07-01  238436
2001-08-01  235159
2001-09-01  235540
2001-10-01  235911
2001-11-01  236126
2001-12-01  235489
2002-01-01  233674
2002-02-01  235997
2002-03-01  235924
2002-04-01  237133
2002-05-01  236768
2002-06-01  238080
2002-07-01  238799
2002-08-01  237801
2002-09-01  237068
2002-10-01  238360
2002-11-01  237476
2002-12-01  236092
2003-01-01  238516
2003-02-01  241247
2003-03-01  241695
2003-04-01  242248
2003-05-01  240444
2003-06-01  242298
2003-07-01  238364
2003-08-01  235722
2003-09-01  235096
2003-10-01  237682
2003-11-01  237153
2003-12-01  234827
2004-01-01  235454
2004-02-01  235817
2004-03-01  236132
2004-04-01  238022
2004-05-01  237841
2004-06-01  240495
2004-07-01  240309
2004-08-01  237215
2004-09-01  235764
2004-10-01  237794
2004-11-01  238544
2004-12-01  237470
2005-01-01  236732
2005-02-01  238846
2005-03-01  239000
2005-04-01  240457
2005-05-01  241234
2005-06-01  242548
2005-07-01  243590
2005-08-01  241329
2005-09-01  240098
2005-10-01  242286
2005-11-01  241270
2005-12-01  239878
2006-01-01  240593
2006-02-01  242516
2006-03-01  243532
2006-04-01  245296
2006-05-01  247264
2006-06-01  247709
2006-07-01  249635
2006-08-01  248724
2006-09-01  246764
2006-10-01  249472
2006-11-01  249620
2006-12-01  248321
2007-01-01  246467
2007-02-01  246998
2007-03-01  247497
2007-04-01  246746
2007-05-01  247291
2007-06-01  248460
2007-07-01  249900
2007-08-01  246623
2007-09-01  246542
2007-10-01  247589
2007-11-01  247736
2007-12-01  245648
2008-01-01  249187
2008-02-01  248624
2008-03-01  249179
2008-04-01  249632
2008-05-01  250083
2008-06-01  250069
2008-07-01  252468
2008-08-01  250702
2008-09-01  250123
2008-10-01  252129
2008-11-01  253737
2008-12-01  250753
2009-01-01  250752
2009-02-01  250935
2009-03-01  249033
2009-04-01  249630
2009-05-01  249050
2009-06-01  250183
2009-07-01  252610
2009-08-01  250308
2009-09-01  249254
2009-10-01  249595
2009-11-01  248716
2009-12-01  246512
2010-01-01  249150
2010-02-01  249914
2010-03-01  251817
2010-04-01  253911
2010-05-01  253711
2010-06-01  253307
2010-07-01  255295
2010-08-01  252631
2010-09-01  251290
2010-10-01  251719
2010-11-01  251269
2010-12-01  250106
2011-01-01  250791
2011-02-01  251260
2011-03-01  252406
2011-04-01  252933
2011-05-01  253748
2011-06-01  253141
2011-07-01  254485
2011-08-01  252862
2011-09-01  254566
2011-10-01  254964
2011-11-01  253780
2011-12-01  252204
2012-01-01  252519
2012-02-01  254060
2012-03-01  254719
2012-04-01  253323
2012-05-01  255442
2012-06-01  254458
2012-07-01  254002
2012-08-01  253578
2012-09-01  255565
2012-10-01  257692
2012-11-01  256124
2012-12-01  255387
2013-01-01  257088
2013-02-01  256528
2013-03-01  256100
2013-04-01  255474
2013-05-01  256723
2013-06-01  256024
2013-07-01  255453
2013-08-01  254404
2013-09-01  255589
2013-10-01  254443
2013-11-01  253707
2013-12-01  251199
2014-01-01  251633
2014-02-01  253216
2014-03-01  254864
2014-04-01  252763
2014-05-01  254513
2014-06-01  252266
2014-07-01  253886
2014-08-01  252966
2014-09-01  253755
2014-10-01  255216
2014-11-01  253799
2014-12-01  251667
2015-01-01  253840
2015-02-01  254984
2015-03-01  254789
2015-04-01  256810
2015-05-01  259231
2015-06-01  256723
2015-07-01  256776
2015-08-01  256249
2015-09-01  256303
2015-10-01  257553
2015-11-01  256559
2015-12-01  255569
2016-01-01  255886
2016-02-01  258128
2016-03-01  258497
2016-04-01  257353
2016-05-01  257366
2016-06-01  256764
2016-07-01  257981
2016-08-01  257248
2016-09-01  259015
2016-10-01  260964
2016-11-01  260983
2016-12-01  258273
2017-01-01  257980
2017-02-01  259622
2017-03-01  260004
2017-04-01  260220
2017-05-01  260539
2017-06-01  260403
2017-07-01  260794
2017-08-01  259434
2017-09-01  262218
2017-10-01  260986
2017-11-01  261656
2017-12-01  259064
2018-01-01  259477
2018-02-01  262317
2018-03-01  262539
2018-04-01  262212
2018-05-01  263209
2018-06-01  263563
2018-07-01  262981
2018-08-01  259246
2018-09-01  259951
2018-10-01  263702
2018-11-01  263375
