Title:               All Employees: Retail Trade in North Carolina
2012-12-01  453.8
2013-01-01  454.6
2013-02-01  455.6
2013-03-01  456.2
2013-04-01  456.5
2013-05-01  457.8
2013-06-01  458.6
2013-07-01  460.8
2013-08-01  461.7
2013-09-01  462.7
2013-10-01  464.7
2013-11-01  464.7
2013-12-01  467.5
2014-01-01  467.2
2014-02-01  465.0
2014-03-01  468.0
2014-04-01  469.6
2014-05-01  470.1
2014-06-01  470.6
2014-07-01  470.5
2014-08-01  472.1
2014-09-01  472.6
2014-10-01  473.7
2014-11-01  476.4
2014-12-01  477.9
2015-01-01  477.8
2015-02-01  478.8
2015-03-01  479.9
2015-04-01  481.0
2015-05-01  482.3
2015-06-01  484.1
2015-07-01  485.3
2015-08-01  485.6
2015-09-01  487.1
2015-10-01  488.1
2015-11-01  488.9
2015-12-01  488.4
2016-01-01  490.2
2016-02-01  491.8
2016-03-01  492.8
2016-04-01  494.9
2016-05-01  495.3
2016-06-01  495.3
2016-07-01  496.2
2016-08-01  497.3
2016-09-01  498.9
2016-10-01  498.1
2016-11-01  498.2
2016-12-01  498.8
2017-01-01  499.8
2017-02-01  499.7
2017-03-01  499.4
2017-04-01  498.1
2017-05-01  497.3
2017-06-01  498.7
2017-07-01  498.5
2017-08-01  498.4
2017-09-01  498.4
2017-10-01  499.1
2017-11-01  496.7
2017-12-01  496.7
2018-01-01  498.1
2018-02-01  502.2
2018-03-01  501.9
2018-04-01  501.4
2018-05-01  506.3
2018-06-01  506.4
2018-07-01  506.3
2018-08-01  506.1
2018-09-01  503.9
2018-10-01  508.0
