Title:               All Employees: Manufacturing: Non-Durable Goods in North Carolina
2012-03-01  205.0
2012-04-01  205.1
2012-05-01  205.3
2012-06-01  205.4
2012-07-01  205.8
2012-08-01  206.1
2012-09-01  206.1
2012-10-01  206.5
2012-11-01  206.8
2012-12-01  206.4
2013-01-01  205.9
2013-02-01  206.4
2013-03-01  206.0
2013-04-01  206.3
2013-05-01  206.4
2013-06-01  207.0
2013-07-01  207.0
2013-08-01  206.7
2013-09-01  207.0
2013-10-01  207.3
2013-11-01  207.0
2013-12-01  207.1
2014-01-01  207.0
2014-02-01  207.1
2014-03-01  207.6
2014-04-01  208.5
2014-05-01  208.2
2014-06-01  208.5
2014-07-01  208.4
2014-08-01  209.4
2014-09-01  210.2
2014-10-01  210.4
2014-11-01  211.0
2014-12-01  211.7
2015-01-01  212.1
2015-02-01  212.5
2015-03-01  212.8
2015-04-01  212.3
2015-05-01  212.6
2015-06-01  212.3
2015-07-01  212.4
2015-08-01  212.7
2015-09-01  212.7
2015-10-01  213.1
2015-11-01  213.1
2015-12-01  213.4
2016-01-01  213.5
2016-02-01  213.5
2016-03-01  213.1
2016-04-01  213.3
2016-05-01  213.2
2016-06-01  213.3
2016-07-01  213.6
2016-08-01  213.7
2016-09-01  213.5
2016-10-01  212.8
2016-11-01  213.8
2016-12-01  213.7
2017-01-01  214.0
2017-02-01  214.1
2017-03-01  214.0
2017-04-01  214.2
2017-05-01  213.8
2017-06-01  214.6
2017-07-01  214.8
2017-08-01  214.6
2017-09-01  214.6
2017-10-01  213.4
2017-11-01  214.2
2017-12-01  214.4
2018-01-01  214.9
2018-02-01  215.3
2018-03-01  215.8
2018-04-01  216.8
2018-05-01  217.8
2018-06-01  217.2
2018-07-01  216.5
2018-08-01  215.4
2018-09-01  215.0
2018-10-01  215.0
