Title:               All Employees: Professional, Scientific, and Technical Services in North Carolina
2017-12-01  243.3
2018-01-01  244.8
2018-02-01  243.2
2018-03-01  242.9
2018-04-01  243.3
2018-05-01  247.9
2018-06-01  249.2
2018-07-01  250.8
2018-08-01  251.3
2018-09-01  253.5
2018-10-01  255.6
