Title:               All Employees: Service-Providing in North Carolina
2016-07-01  3680.3
2016-08-01  3679.8
2016-09-01  3690.5
2016-10-01  3689.0
2016-11-01  3698.1
2016-12-01  3703.1
2017-01-01  3710.5
2017-02-01  3717.0
2017-03-01  3719.6
2017-04-01  3718.0
2017-05-01  3722.5
2017-06-01  3732.8
2017-07-01  3740.1
2017-08-01  3742.3
2017-09-01  3739.6
2017-10-01  3753.0
2017-11-01  3754.4
2017-12-01  3764.9
2018-01-01  3771.7
2018-02-01  3779.4
2018-03-01  3782.7
2018-04-01  3785.7
2018-05-01  3805.8
2018-06-01  3819.6
2018-07-01  3825.5
2018-08-01  3826.5
2018-09-01  3811.9
2018-10-01  3838.9
