Title:               All Employees: Goods Producing in North Carolina
2000-11-01   989.8
2000-12-01   986.4
2001-01-01   984.6
2001-02-01   977.6
2001-03-01   970.4
2001-04-01   963.0
2001-05-01   953.0
2001-06-01   945.9
2001-07-01   936.9
2001-08-01   929.3
2001-09-01   921.8
2001-10-01   913.2
2001-11-01   904.0
2001-12-01   897.3
2002-01-01   890.9
2002-02-01   888.1
2002-03-01   884.5
2002-04-01   879.7
2002-05-01   874.6
2002-06-01   869.1
2002-07-01   868.6
2002-08-01   866.3
2002-09-01   861.0
2002-10-01   858.0
2002-11-01   853.4
2002-12-01   848.9
2003-01-01   844.2
2003-02-01   839.1
2003-03-01   835.3
2003-04-01   832.0
2003-05-01   825.8
2003-06-01   821.6
2003-07-01   808.4
2003-08-01   804.8
2003-09-01   802.7
2003-10-01   801.7
2003-11-01   800.5
2003-12-01   798.7
2004-01-01   797.1
2004-02-01   796.4
2004-03-01   798.4
2004-04-01   801.1
2004-05-01   802.2
2004-06-01   803.5
2004-07-01   805.7
2004-08-01   804.4
2004-09-01   804.6
2004-10-01   805.4
2004-11-01   804.5
2004-12-01   805.5
2005-01-01   805.6
2005-02-01   805.8
2005-03-01   804.1
2005-04-01   803.5
2005-05-01   803.4
2005-06-01   802.3
2005-07-01   803.3
2005-08-01   801.9
2005-09-01   803.0
2005-10-01   799.5
2005-11-01   799.7
2005-12-01   799.0
2006-01-01   799.9
2006-02-01   798.6
2006-03-01   799.3
2006-04-01   809.8
2006-05-01   808.4
2006-06-01   808.0
2006-07-01   810.4
2006-08-01   809.0
2006-09-01   807.0
2006-10-01   807.1
2006-11-01   805.4
2006-12-01   806.9
2007-01-01   807.9
2007-02-01   807.5
2007-03-01   807.2
2007-04-01   803.2
2007-05-01   801.1
2007-06-01   803.3
2007-07-01   800.2
2007-08-01   798.4
2007-09-01   795.7
2007-10-01   794.4
2007-11-01   793.3
2007-12-01   792.0
2008-01-01   786.5
2008-02-01   785.1
2008-03-01   781.2
2008-04-01   774.1
2008-05-01   768.0
2008-06-01   763.0
2008-07-01   760.0
2008-08-01   753.7
2008-09-01   747.5
2008-10-01   737.6
2008-11-01   728.4
2008-12-01   716.3
2009-01-01   693.9
2009-02-01   684.4
2009-03-01   668.5
2009-04-01   656.0
2009-05-01   648.6
2009-06-01   641.6
2009-07-01   634.3
2009-08-01   630.4
2009-09-01   627.1
2009-10-01   624.5
2009-11-01   621.9
2009-12-01   618.9
2010-01-01   615.6
2010-02-01   613.2
2010-03-01   614.0
2010-04-01   615.7
2010-05-01   615.6
2010-06-01   615.3
2010-07-01   616.1
2010-08-01   614.2
2010-09-01   613.5
2010-10-01   614.0
2010-11-01   613.1
2010-12-01   613.0
2011-01-01   606.9
2011-02-01   612.6
2011-03-01   612.7
2011-04-01   612.6
2011-05-01   614.1
2011-06-01   613.7
2011-07-01   614.3
2011-08-01   614.3
2011-09-01   613.6
2011-10-01   612.1
2011-11-01   612.0
2011-12-01   612.8
2012-01-01   615.9
2012-02-01   616.9
2012-03-01   618.5
2012-04-01   618.6
2012-05-01   617.9
2012-06-01   617.1
2012-07-01   617.3
2012-08-01   617.3
2012-09-01   617.5
2012-10-01   617.8
2012-11-01   618.8
2012-12-01   619.2
2013-01-01   619.7
2013-02-01   620.2
2013-03-01   620.0
2013-04-01   620.7
2013-05-01   620.4
2013-06-01   621.5
2013-07-01   621.7
2013-08-01   622.2
2013-09-01   623.0
2013-10-01   624.4
2013-11-01   624.9
2013-12-01   625.0
2014-01-01   624.9
2014-02-01   625.2
2014-03-01   628.3
2014-04-01   628.5
2014-05-01   629.9
2014-06-01   631.7
2014-07-01   633.5
2014-08-01   635.8
2014-09-01   637.9
2014-10-01   641.2
2014-11-01   643.5
2014-12-01   645.1
2015-01-01   647.5
2015-02-01   649.8
2015-03-01   650.1
2015-04-01   651.2
2015-05-01   654.7
2015-06-01   655.3
2015-07-01   656.8
2015-08-01   658.7
2015-09-01   659.7
2015-10-01   661.7
2015-11-01   662.7
2015-12-01   664.4
2016-01-01   667.5
2016-02-01   668.3
2016-03-01   668.4
2016-04-01   669.4
2016-05-01   669.1
2016-06-01   669.2
2016-07-01   671.4
2016-08-01   671.5
2016-09-01   672.5
2016-10-01   672.1
2016-11-01   674.4
2016-12-01   676.2
2017-01-01   677.2
2017-02-01   679.3
2017-03-01   679.1
2017-04-01   680.0
2017-05-01   680.0
2017-06-01   682.1
2017-07-01   681.9
2017-08-01   682.5
2017-09-01   682.8
2017-10-01   682.4
2017-11-01   682.8
2017-12-01   684.3
2018-01-01   686.9
2018-02-01   688.5
2018-03-01   690.3
2018-04-01   694.8
2018-05-01   699.3
2018-06-01   698.9
2018-07-01   700.5
2018-08-01   700.1
2018-09-01   699.1
2018-10-01   700.0
