Title:               Civilian Labor Force in Hickory-Lenoir-Morganton, NC (MSA)
1997-08-01   182471
1997-09-01   181725
1997-10-01   181880
1997-11-01   181960
1997-12-01   181406
1998-01-01   180704
1998-02-01   180084
1998-03-01   179706
1998-04-01   179282
1998-05-01   178634
1998-06-01   177953
1998-07-01   177667
1998-08-01   178196
1998-09-01   178554
1998-10-01   178121
1998-11-01   177934
1998-12-01   178269
1999-01-01   178673
1999-02-01   178818
1999-03-01   178697
1999-04-01   178891
1999-05-01   179367
1999-06-01   179680
1999-07-01   180006
1999-08-01   180232
1999-09-01   180424
1999-10-01   180952
1999-11-01   181567
1999-12-01   182004
2000-01-01   186608
2000-02-01   187445
2000-03-01   188039
2000-04-01   188234
2000-05-01   188491
2000-06-01   188902
2000-07-01   189578
2000-08-01   190138
2000-09-01   189717
2000-10-01   189253
2000-11-01   189908
2000-12-01   190841
2001-01-01   191150
2001-02-01   190981
2001-03-01   190238
2001-04-01   189224
2001-05-01   188495
2001-06-01   188024
2001-07-01   187547
2001-08-01   186918
2001-09-01   186467
2001-10-01   186209
2001-11-01   185994
2001-12-01   185374
2002-01-01   184521
2002-02-01   184181
2002-03-01   183970
2002-04-01   183492
2002-05-01   182698
2002-06-01   181835
2002-07-01   181333
2002-08-01   181047
2002-09-01   180556
2002-10-01   180013
2002-11-01   179706
2002-12-01   179736
2003-01-01   180462
2003-02-01   181237
2003-03-01   181510
2003-04-01   181440
2003-05-01   180943
2003-06-01   180449
2003-07-01   180030
2003-08-01   179562
2003-09-01   179022
2003-10-01   178496
2003-11-01   178197
2003-12-01   178382
2004-01-01   179078
2004-02-01   179429
2004-03-01   179087
2004-04-01   178435
2004-05-01   177985
2004-06-01   177856
2004-07-01   177583
2004-08-01   176980
2004-09-01   176559
2004-10-01   176580
2004-11-01   176673
2004-12-01   176305
2005-01-01   175494
2005-02-01   175089
2005-03-01   175308
2005-04-01   175852
2005-05-01   176229
2005-06-01   175907
2005-07-01   175494
2005-08-01   175820
2005-09-01   176654
2005-10-01   177235
2005-11-01   177052
2005-12-01   176139
2006-01-01   175218
2006-02-01   175078
2006-03-01   175482
2006-04-01   176134
2006-05-01   176917
2006-06-01   177653
2006-07-01   178234
2006-08-01   178361
2006-09-01   178337
2006-10-01   178602
2006-11-01   178787
2006-12-01   178619
2007-01-01   173982
2007-02-01   173318
2007-03-01   173064
2007-04-01   173047
2007-05-01   173124
2007-06-01   173420
2007-07-01   173406
2007-08-01   173169
2007-09-01   172987
2007-10-01   172620
2007-11-01   172533
2007-12-01   172746
2008-01-01   172475
2008-02-01   172122
2008-03-01   172462
2008-04-01   172800
2008-05-01   172715
2008-06-01   172923
2008-07-01   173359
2008-08-01   173327
2008-09-01   173203
2008-10-01   172668
2008-11-01   175604
2008-12-01   177008
2009-01-01   174568
2009-02-01   175086
2009-03-01   174619
2009-04-01   174100
2009-05-01   173458
2009-06-01   172660
2009-07-01   171833
2009-08-01   171302
2009-09-01   171377
2009-10-01   171659
2009-11-01   171670
2009-12-01   171841
2010-01-01   176786
2010-02-01   177039
2010-03-01   177452
2010-04-01   177837
2010-05-01   177260
2010-06-01   176411
2010-07-01   175997
2010-08-01   175440
2010-09-01   174505
2010-10-01   174147
2010-11-01   174595
2010-12-01   174748
2011-01-01   174357
2011-02-01   173945
2011-03-01   173814
2011-04-01   173697
2011-05-01   173415
2011-06-01   173247
2011-07-01   173145
2011-08-01   172945
2011-09-01   172688
2011-10-01   172552
2011-11-01   172564
2011-12-01   172302
2012-01-01   171665
2012-02-01   171205
2012-03-01   170898
2012-04-01   170968
2012-05-01   171641
2012-06-01   172001
2012-07-01   172023
2012-08-01   172324
2012-09-01   172727
2012-10-01   172641
2012-11-01   172179
2012-12-01   172003
2013-01-01   171716
2013-02-01   170871
2013-03-01   170060
2013-04-01   169929
2013-05-01   170312
2013-06-01   170545
2013-07-01   170335
2013-08-01   169983
2013-09-01   169575
2013-10-01   169039
2013-11-01   168658
2013-12-01   168130
2014-01-01   167427
2014-02-01   167304
2014-03-01   167185
2014-04-01   166680
2014-05-01   166520
2014-06-01   166604
2014-07-01   166828
2014-08-01   167020
2014-09-01   167169
2014-10-01   167417
2014-11-01   167310
2014-12-01   167080
2015-01-01   166994
2015-02-01   166747
2015-03-01   166561
2015-04-01   167003
2015-05-01   167667
2015-06-01   167731
2015-07-01   167570
2015-08-01   167542
2015-09-01   167512
2015-10-01   167663
2015-11-01   168067
2015-12-01   168542
2016-01-01   168867
2016-02-01   169228
2016-03-01   169520
2016-04-01   169378
2016-05-01   169351
2016-06-01   169605
2016-07-01   169983
2016-08-01   170675
2016-09-01   171347
2016-10-01   171726
2016-11-01   171872
2016-12-01   172120
2017-01-01   172710
2017-02-01   173369
2017-03-01   173832
2017-04-01   173855
2017-05-01   173630
2017-06-01   173530
2017-07-01   173487
2017-08-01   173870
2017-09-01   174290
2017-10-01   174045
2017-11-01   173800
2017-12-01   173791
2018-01-01   173910
2018-02-01   174651
2018-03-01   174865
2018-04-01   174610
2018-05-01   175172
2018-06-01   175683
2018-07-01   174872
2018-08-01   174223
2018-09-01   174591
2018-10-01   176144
2018-11-01   176655
