Title:               Civilian Labor Force in Hickory-Lenoir-Morganton, NC (MSA)
2008-05-01  173195
2008-06-01  172858
2008-07-01  175473
2008-08-01  172614
2008-09-01  171987
2008-10-01  172622
2008-11-01  175042
2008-12-01  174678
2009-01-01  175739
2009-02-01  176020
2009-03-01  175031
2009-04-01  174187
2009-05-01  173688
2009-06-01  173126
2009-07-01  173176
2009-08-01  170690
2009-09-01  170076
2009-10-01  171206
2009-11-01  171172
2009-12-01  170125
2010-01-01  176989
2010-02-01  177160
2010-03-01  177899
2010-04-01  178615
2010-05-01  177854
2010-06-01  176531
2010-07-01  176854
2010-08-01  174527
2010-09-01  174116
2010-10-01  173646
2010-11-01  174967
2010-12-01  173514
2011-01-01  174169
2011-02-01  174007
2011-03-01  174451
2011-04-01  174030
2011-05-01  173928
2011-06-01  173718
2011-07-01  173868
2011-08-01  172024
2011-09-01  172266
2011-10-01  172643
2011-11-01  172426
2011-12-01  171390
2012-01-01  171114
2012-02-01  171482
2012-03-01  171684
2012-04-01  170554
2012-05-01  172784
2012-06-01  172386
2012-07-01  172687
2012-08-01  171208
2012-09-01  172493
2012-10-01  172986
2012-11-01  171731
2012-12-01  170898
2013-01-01  171633
2013-02-01  171126
2013-03-01  170509
2013-04-01  169910
2013-05-01  171177
2013-06-01  170983
2013-07-01  171244
2013-08-01  168655
2013-09-01  169639
2013-10-01  168757
2013-11-01  168765
2013-12-01  167003
2014-01-01  166836
2014-02-01  167354
2014-03-01  168520
2014-04-01  166140
2014-05-01  167704
2014-06-01  166588
2014-07-01  167829
2014-08-01  165973
2014-09-01  166676
2014-10-01  167754
2014-11-01  167234
2014-12-01  165617
2015-01-01  166867
2015-02-01  166916
2015-03-01  167131
2015-04-01  166916
2015-05-01  168907
2015-06-01  167998
2015-07-01  168259
2015-08-01  166578
2015-09-01  167070
2015-10-01  167772
2015-11-01  167917
2015-12-01  167383
2016-01-01  168531
2016-02-01  169229
2016-03-01  170643
2016-04-01  169379
2016-05-01  169995
2016-06-01  170185
2016-07-01  170383
2016-08-01  169780
2016-09-01  170994
2016-10-01  171976
2016-11-01  171783
2016-12-01  170656
2017-01-01  172413
2017-02-01  173578
2017-03-01  174601
2017-04-01  174324
2017-05-01  174074
2017-06-01  174162
2017-07-01  174063
2017-08-01  172434
2017-09-01  174671
2017-10-01  173730
2017-11-01  173836
2017-12-01  172452
2018-01-01  174033
2018-02-01  175328
2018-03-01  175532
2018-04-01  174691
2018-05-01  175957
2018-06-01  176128
2018-07-01  175795
2018-08-01  173398
2018-09-01  174034
2018-10-01  176232
2018-11-01  176393
