Title:               All Employees: Private Service Providing in Winston-Salem, NC (MSA)
2004-05-01  165.3
2004-06-01  166.3
2004-07-01  166.2
2004-08-01  167.6
2004-09-01  166.3
2004-10-01  166.4
2004-11-01  167.2
2004-12-01  168.2
2005-01-01  165.4
2005-02-01  166.1
2005-03-01  167.2
2005-04-01  167.6
2005-05-01  167.9
2005-06-01  169.8
2005-07-01  170.3
2005-08-01  170.5
2005-09-01  169.2
2005-10-01  170.8
2005-11-01  171.8
2005-12-01  172.1
2006-01-01  169.5
2006-02-01  170.0
2006-03-01  171.5
2006-04-01  172.5
2006-05-01  174.3
2006-06-01  175.4
2006-07-01  175.2
2006-08-01  175.5
2006-09-01  175.2
2006-10-01  176.1
2006-11-01  177.5
2006-12-01  178.5
2007-01-01  174.9
2007-02-01  175.9
2007-03-01  177.6
2007-04-01  177.8
2007-05-01  178.8
2007-06-01  179.7
2007-07-01  179.2
2007-08-01  179.1
2007-09-01  179.0
2007-10-01  179.3
2007-11-01  180.7
2007-12-01  181.8
2008-01-01  178.4
2008-02-01  178.6
2008-03-01  179.7
2008-04-01  179.5
2008-05-01  179.8
2008-06-01  181.1
2008-07-01  180.7
2008-08-01  180.3
2008-09-01  179.3
2008-10-01  178.3
2008-11-01  178.3
2008-12-01  178.7
2009-01-01  173.6
2009-02-01  172.6
2009-03-01  172.4
2009-04-01  171.0
2009-05-01  171.6
2009-06-01  171.9
2009-07-01  171.3
2009-08-01  171.4
2009-09-01  170.2
2009-10-01  170.3
2009-11-01  171.0
2009-12-01  170.8
2010-01-01  166.8
2010-02-01  166.5
2010-03-01  167.4
2010-04-01  169.3
2010-05-01  169.6
2010-06-01  170.6
2010-07-01  169.4
2010-08-01  169.7
2010-09-01  169.2
2010-10-01  171.5
2010-11-01  171.6
2010-12-01  171.3
2011-01-01  165.7
2011-02-01  167.6
2011-03-01  168.4
2011-04-01  169.7
2011-05-01  170.9
2011-06-01  171.6
2011-07-01  172.0
2011-08-01  173.1
2011-09-01  172.3
2011-10-01  173.1
2011-11-01  174.0
2011-12-01  175.3
2012-01-01  172.4
2012-02-01  174.0
2012-03-01  175.3
2012-04-01  175.4
2012-05-01  176.1
2012-06-01  176.1
2012-07-01  175.7
2012-08-01  176.6
2012-09-01  177.0
2012-10-01  178.0
2012-11-01  178.9
2012-12-01  179.6
2013-01-01  176.7
2013-02-01  177.9
2013-03-01  178.6
2013-04-01  178.6
2013-05-01  179.1
2013-06-01  179.8
2013-07-01  180.1
2013-08-01  181.4
2013-09-01  181.0
2013-10-01  181.8
2013-11-01  181.9
2013-12-01  181.6
2014-01-01  177.4
2014-02-01  177.6
2014-03-01  179.3
2014-04-01  180.7
2014-05-01  182.0
2014-06-01  182.5
2014-07-01  182.6
2014-08-01  183.2
2014-09-01  182.7
2014-10-01  183.0
2014-11-01  183.9
2014-12-01  185.0
2015-01-01  181.2
2015-02-01  181.4
2015-03-01  182.2
2015-04-01  183.1
2015-05-01  184.2
2015-06-01  184.4
2015-07-01  185.3
2015-08-01  185.7
2015-09-01  185.4
2015-10-01  185.9
2015-11-01  186.2
2015-12-01  186.9
2016-01-01  184.2
2016-02-01  184.4
2016-03-01  186.2
2016-04-01  187.2
2016-05-01  187.9
2016-06-01  188.1
2016-07-01  188.0
2016-08-01  188.7
2016-09-01  189.1
2016-10-01  189.7
2016-11-01  190.5
2016-12-01  190.7
2017-01-01  185.2
2017-02-01  187.2
2017-03-01  187.4
2017-04-01  187.6
2017-05-01  188.5
2017-06-01  189.2
2017-07-01  189.9
2017-08-01  190.2
2017-09-01  189.3
2017-10-01  191.2
2017-11-01  190.8
2017-12-01  191.3
2018-01-01  188.1
2018-02-01  188.9
2018-03-01  189.8
2018-04-01  191.4
2018-05-01  193.3
2018-06-01  194.3
2018-07-01  193.9
2018-08-01  193.5
2018-09-01  193.9
2018-10-01  196.6
