Title:               SNAP Benefits Recipients in North Carolina
1994-04-01   638539
1994-05-01   625902
1994-06-01   626370
1994-07-01   624338
1994-08-01   623133
1994-09-01   618067
1994-10-01   624698
1994-11-01   616170
1994-12-01   628143
1995-01-01   626957
1995-02-01   611811
1995-03-01   626303
1995-04-01   615509
1995-05-01   596570
1995-06-01   604389
1995-07-01   598110
1995-08-01   601945
1995-09-01   611413
1995-10-01   614817
1995-11-01   610316
1995-12-01   611023
1996-01-01   615142
1996-02-01   608093
1996-03-01   611871
1996-04-01   605653
1996-05-01   599666
1996-06-01   593569
1996-07-01   593490
1996-08-01   605208
1996-09-01   615183
1996-10-01   625456
1996-11-01   615352
1996-12-01   610383
1997-01-01   607057
1997-02-01   601049
1997-03-01   588753
1997-04-01   577294
1997-05-01   569529
1997-06-01   565839
1997-07-01   562879
1997-08-01   559615
1997-09-01   553776
1997-10-01   551388
1997-11-01   543795
1997-12-01   544998
1998-01-01   541192
1998-02-01   540257
1998-03-01   536451
1998-04-01   526352
1998-05-01   517894
1998-06-01   512713
1998-07-01   509793
1998-08-01   506435
1998-09-01   502209
1998-10-01   500840
1998-11-01   498311
1998-12-01   498053
1999-01-01   494008
1999-02-01   492033
1999-03-01   490255
1999-04-01   483608
1999-05-01   479708
1999-06-01   479459
1999-07-01   478732
1999-08-01   482769
1999-09-01   489089
1999-10-01   496277
1999-11-01   490183
1999-12-01   486884
2000-01-01   478213
2000-02-01   476886
2000-03-01   479536
2000-04-01   474757
2000-05-01   472128
2000-06-01   472545
2000-07-01   470284
2000-08-01   477903
2000-09-01   478644
2000-10-01   480718
2000-11-01   480556
2000-12-01   481327
2001-01-01   483852
2001-02-01   480923
2001-03-01   485221
2001-04-01   485728
2001-05-01   485728
2001-06-01   498762
2001-07-01   508337
2001-08-01   524259
2001-09-01   528658
2001-10-01   541681
2001-11-01   556711
2001-12-01   565048
2002-01-01   569934
2002-02-01   570185
2002-03-01   572677
2002-04-01   574010
2002-05-01   575947
2002-06-01   579728
2002-07-01   585827
2002-08-01   597266
2002-09-01   603408
2002-10-01   610762
2002-11-01   618426
2002-12-01   622631
2003-01-01   627916
2003-02-01   630905
2003-03-01   639836
2003-04-01   645018
2003-05-01   651370
2003-06-01   658555
2003-07-01   667416
2003-08-01   678722
2003-09-01   687041
2003-10-01   699884
2003-11-01   706138
2003-12-01   718574
2004-01-01   715617
2004-02-01   714740
2004-03-01   728041
2004-04-01   739212
2004-05-01   747163
2004-06-01   755306
2004-07-01   759120
2004-08-01   768138
2004-09-01   774483
2004-10-01   784801
2004-11-01   791176
2004-12-01   796716
2005-01-01   795677
2005-02-01   788696
2005-03-01   787454
2005-04-01   791269
2005-05-01   795959
2005-06-01   804102
2005-07-01   805896
2005-08-01   818124
2005-09-01   835168
2005-10-01   844354
2005-11-01   854678
2005-12-01   857361
2006-01-01   852423
2006-02-01   844865
2006-03-01   848213
2006-04-01   843913
2006-05-01   848004
2006-06-01   855547
2006-07-01   859132
2006-08-01   871393
2006-09-01   872978
2006-10-01   878421
2006-11-01   882963
2006-12-01   880734
2007-01-01   879784
2007-02-01   870023
2007-03-01   870376
2007-04-01   868892
2007-05-01   874694
2007-06-01   883722
2007-07-01   892615
2007-08-01   905103
2007-09-01   908025
2007-10-01   915318
2007-11-01   921145
2007-12-01   923151
2008-01-01   927926
2008-02-01   927714
2008-03-01   928874
2008-04-01   938216
2008-05-01   945711
2008-06-01   957376
2008-07-01   973999
2008-08-01   993081
2008-09-01  1011226
2008-10-01  1030906
2008-11-01  1048072
2008-12-01  1072607
2009-01-01  1089699
2009-02-01  1102385
2009-03-01  1122281
2009-04-01  1142712
2009-05-01  1162313
2009-06-01  1185681
2009-07-01  1209776
2009-08-01  1231868
2009-09-01  1249226
2009-10-01  1266757
2009-11-01  1285157
2009-12-01  1302121
2010-01-01  1313610
2010-02-01  1317368
2010-03-01  1327754
2010-04-01  1334545
2010-05-01  1341997
2010-06-01  1356607
2010-07-01  1393165
2010-08-01  1442650
2010-09-01  1476207
2010-10-01  1503558
2010-11-01  1531255
2010-12-01  1547621
2011-01-01  1544547
2011-02-01  1551054
2011-03-01  1561887
2011-04-01  1571115
2011-05-01  1590867
2011-06-01  1608560
2011-07-01  1614848
2011-08-01  1633664
2011-09-01  1640688
2011-10-01  1655694
2011-11-01  1660154
2011-12-01  1660591
2012-01-01  1660464
2012-02-01  1655362
2012-03-01  1653501
2012-04-01  1650483
2012-05-01  1653436
2012-06-01  1674350
2012-07-01  1687148
2012-08-01  1706480
2012-09-01  1705395
2012-10-01  1756474
2012-11-01  1738799
2012-12-01  1726440
2013-01-01  1725504
2013-02-01  1698745
2013-03-01  1704848
2013-04-01  1706588
2013-05-01  1721681
2013-06-01  1734913
2013-07-01  1705966
2013-08-01  1682965
2013-09-01  1541482
2013-10-01  1591292
2013-11-01  1578293
2013-12-01  1583150
2014-01-01  1573226
2014-02-01  1566955
2014-03-01  1586169
2014-04-01  1602564
2014-05-01  1619088
2014-06-01  1629073
2014-07-01  1628467
2014-08-01  1631689
2014-09-01  1670130
2014-10-01  1673939
2014-11-01  1667583
2014-12-01  1661672
2015-01-01  1645161
2015-02-01  1632755
2015-03-01  1631349
2015-04-01  1627167
2015-05-01  1626420
2015-06-01  1636572
2015-07-01  1641853
2015-08-01  1643059
2015-09-01  1643364
2015-10-01  1647808
2015-11-01  1643503
2015-12-01  1617850
2016-01-01  1605908
2016-02-01  1602407
2016-03-01  1598845
2016-04-01  1570872
2016-05-01  1566722
2016-06-01  1543856
2016-07-01  1475489
2016-08-01  1477300
2016-09-01  1470079
2016-10-01  1472482
2016-11-01  1482701
2016-12-01  1479655
2017-01-01  1470862
2017-02-01  1458092
2017-03-01  1448592
2017-04-01  1428334
2017-05-01  1431854
2017-06-01  1427200
