Title:               Civilian Labor Force in Burlington, NC (MSA)
2016-11-01   79539
2016-12-01   79597
2017-01-01   79653
2017-02-01   79716
2017-03-01   79767
2017-04-01   79721
2017-05-01   79639
2017-06-01   79688
2017-07-01   79813
2017-08-01   79915
2017-09-01   79933
2017-10-01   79835
2017-11-01   79775
2017-12-01   79740
2018-01-01   79638
2018-02-01   79925
2018-03-01   80048
2018-04-01   80057
2018-05-01   80260
2018-06-01   80473
2018-07-01   80495
2018-08-01   79936
2018-09-01   79487
2018-10-01   80018
2018-11-01   80364
