Title:               Civilian Labor Force in Sampson County, NC
2013-02-01  29367
2013-03-01  28735
2013-04-01  29073
2013-05-01  29803
2013-06-01  29896
2013-07-01  30137
2013-08-01  29472
2013-09-01  29701
2013-10-01  30590
2013-11-01  30170
2013-12-01  29783
2014-01-01  29646
2014-02-01  29168
2014-03-01  29022
2014-04-01  29359
2014-05-01  29907
2014-06-01  30409
2014-07-01  30199
2014-08-01  28924
2014-09-01  29009
2014-10-01  30363
2014-11-01  30386
2014-12-01  29334
2015-01-01  29690
2015-02-01  29456
2015-03-01  30305
2015-04-01  29471
2015-05-01  29520
2015-06-01  29919
2015-07-01  29745
2015-08-01  28652
2015-09-01  29087
2015-10-01  29800
2015-11-01  29813
2015-12-01  29059
2016-01-01  29052
2016-02-01  29389
2016-03-01  30278
2016-04-01  29945
2016-05-01  29749
2016-06-01  29478
2016-07-01  30186
2016-08-01  28959
2016-09-01  29496
2016-10-01  29259
2016-11-01  29133
2016-12-01  28887
2017-01-01  29268
2017-02-01  29810
2017-03-01  30550
2017-04-01  30091
2017-05-01  29480
2017-06-01  28741
2017-07-01  29846
2017-08-01  28922
2017-09-01  29325
2017-10-01  29289
2017-11-01  28660
2017-12-01  28803
2018-01-01  29021
2018-02-01  29909
2018-03-01  29560
2018-04-01  29497
2018-05-01  29494
2018-06-01  29341
2018-07-01  29902
2018-08-01  28401
2018-09-01  28508
2018-10-01  28593
2018-11-01  28389
